seqnum,i_wh_id,i_colnam,i_mask,i_sts_stoloc_set,i_sts_lodnum_set,i_sts_lodnum_add,i_sts_exception_set,i_sts_exception,i_sts_gp,i_sts_gp_mb,i_sts_gp_fwi,i_sts_invtyp,i_sts_photo_miss,i_sts_prtfam,i_sts_vg_ais,i_sts_vg_kweker,i_sts_vg_diff,i_sts_asset_typ,i_stoloc_exploc,i_stoloc_rcvloc_new,i_stoloc_rcvloc_add,i_stoloc_rexcploc,i_invmix_train,i_invmix_lpn,i_inv_attr_str17,i_stoloc_on_dc,i_lodnum_on_dc,i_identifier_on_dc,i_have_confirmation,use_location,add_to_lodnum,start_scan,add_scan,new_train,allocate_location,auto_deposit,clear_pre,finish_scan,finish_asset_typ,clear_post,show_error,show_message,show_confirmation,show_parms,open_rf_frm,open_rf_frm_parms_cmd,description
246,"----","inv_attr_str8","%","1","1","%","%","%","1","0","0","%","1","%","%","%","1","%","1","%","%","%","%","%","PP","%","%","%","dlgGQPlantPassport=N,dlgGpMbNotReceivedIsBroken=N",0,0,0,0,0,0,0,"",0,"","mark usr grote partij as gebroken levering where lodnum=@lodnum","","","","","USR_IDENTIFY_LOAD_EX","list usr rf identify load device scan status | publish data where disable_back='1' and dvc_var_nam='hldpfx,hldnum,asset_typ,invtyp,nottxt' and dvc_ena_flg='0,0,0,0,0' and hldpfx=@@wh_id and hldnum='PASSP.MISS' and asset_typ=@dc_asset_typ and invtyp=@dc_invtyp ","GFF-CFG-069 (IFT-1755) Quality indication at inbound"
250,"----","inv_attr_str8","%","1","0","%","%","%","1","0","0","%","%","%","%","%","%","%","1","%","%","%","%","%","%","%","0","0","",0,0,0,0,0,0,0,"",0,"","","","","dlgGpMbNotReceivedIsBroken[Y|N]","lotnum","","","NAI-S02-06, Scenario c: LDA employee scans follow-up cart PRN before the mother cart PRN for a big batch."
251,"----","inv_attr_str8","%","1","%","%","%","%","1","0","%","%","1","%","%","%","1","%","%","%","%","%","%","%","PPQA","%","%","%","dlgGQPlantPassport=N,dlgQualityInspection=Y,dlgGpMbNotReceivedIsBroken=Y",0,0,0,0,0,0,0,"process usr rf exception where lodnum=@lodnum and acttyp='L' and prc_hldpfx=@wh_id and prc_hldnum='LOT.SORT' and prc_reacod='OVERIG' and invtyp=@dc_invtyp and asset_typ='1'and nottxt=''",0,"","clear usr rf device context where clear_type='all_except_stoloc'","","stsScanGpMbFirst","","","","","GFF-CFG-069 (IFT-1755) Quality indication at inbound"
252,"----","inv_attr_str8","%","1","1","%","%","%","1","0","0","%","1","%","%","%","1","%","1","%","%","%","%","%","PPQA","%","%","%","dlgGQPlantPassport=N,dlgQualityInspection=Y,dlgGpMbNotReceivedIsBroken=N",0,0,0,0,0,0,0,"",0,"","mark usr grote partij as gebroken levering where lodnum=@lodnum","","","","","USR_IDENTIFY_LOAD_EX","list usr rf identify load device scan status | publish data where disable_back='1' and dvc_var_nam='hldpfx,hldnum,asset_typ,invtyp,nottxt' and dvc_ena_flg='0,0,0,0,0' and hldpfx=@@wh_id and hldnum='PASSP.MISS' and asset_typ=@dc_asset_typ and invtyp=@dc_invtyp ","GFF-CFG-069 (IFT-1755) Quality indication at inbound"
255,"----","inv_attr_str8","%","1","%","%","%","%","1","0","%","%","%","%","%","%","1","%","%","%","%","%","%","%","PP","%","%","%","dlgGQPlantPassport=N,dlgGpMbNotReceivedIsBroken=Y",0,0,0,0,0,0,0,"process usr rf exception where lodnum=@lodnum and acttyp='L' and prc_hldpfx=@wh_id and prc_hldnum='LOT.SORT' and prc_reacod='OVERIG' and invtyp=@dc_invtyp and asset_typ='1'and nottxt=''",0,"","clear usr rf device context where clear_type='all_except_stoloc'","errVeilgroepDiff","stsScanGpMbFirst","","dc_vg_kweker,dc_vg_ais","","","GAI-CHK-001 - Check on Plant Passport."
257,"----","inv_attr_str8","%","1","%","%","%","%","1","0","%","%","%","%","%","%","1","%","%","%","%","%","%","%","PPQA","%","%","%","dlgGQPlantPassport=N,dlgQualityInspection=Y,dlgGpMbNotReceivedIsBroken=Y",0,0,0,0,0,0,0,"process usr rf exception where lodnum=@lodnum and acttyp='L' and prc_hldpfx=@wh_id and prc_hldnum='LOT.SORT' and prc_reacod='OVERIG' and invtyp=@dc_invtyp and asset_typ='1'and nottxt=''",0,"","clear usr rf device context where clear_type='all_except_stoloc'","errVeilgroepDiff","stsScanGpMbFirst","","dc_vg_kweker,dc_vg_ais","","","GFF-CFG-069 (IFT-1755) Quality indication at inbound"
260,"----","inv_attr_str8","%","1","%","%","%","%","1","0","%","%","%","%","%","%","%","%","%","%","%","%","%","%","PP","%","%","%","dlgGQPlantPassport=N,dlgGpMbNotReceivedIsBroken=Y",0,0,0,0,0,0,0,"process usr rf exception where lodnum=@lodnum and acttyp='L' and prc_hldpfx=@wh_id and prc_hldnum='LOT.SORT' and prc_reacod='OVERIG' and invtyp=@dc_invtyp and asset_typ='1'and nottxt=''",0,"","clear usr rf device context where clear_type='all_except_stoloc'","","stsScanGpMbFirst","","","","","GAI-CHK-001 - Check on Plant Passport."
263,"----","inv_attr_str8","%","1","%","%","%","%","1","0","%","%","%","%","%","%","%","%","%","%","%","%","%","%","PPQA","%","%","%","dlgGQPlantPassport=N,dlgQualityInspection=Y,dlgGpMbNotReceivedIsBroken=Y",0,0,0,0,0,0,0,"process usr rf exception where lodnum=@lodnum and acttyp='L' and prc_hldpfx=@wh_id and prc_hldnum='LOT.SORT' and prc_reacod='OVERIG' and invtyp=@dc_invtyp and asset_typ='1'and nottxt=''",0,"","clear usr rf device context where clear_type='all_except_stoloc'","","stsScanGpMbFirst","","","","","GFF-CFG-069 (IFT-1755) Quality indication at inbound"
270,"----","inv_attr_str8","%","1","%","%","%","%","1","0","%","%","%","%","%","%","%","%","%","%","%","%","%","%","PP","%","%","%","dlgAddUnlinkedPAB=Y,dlgGQPlantPassport=N,dlgGpMbNotReceivedIsBroken=Y",0,0,0,0,0,0,0,"process usr rf exception where lodnum=@lodnum and acttyp='L' and prc_hldpfx=@wh_id and prc_hldnum='LOT.SORT' and prc_reacod='OVERIG' and invtyp=@dc_invtyp and asset_typ='1'and nottxt=''",0,"","clear usr rf device context where clear_type='all_except_stoloc'","","stsScanGpMbFirst","","","","","GAI-CHK-001 - Check on Plant Passport."
273,"----","inv_attr_str8","%","1","%","%","%","%","1","0","%","%","%","%","%","%","%","%","%","%","%","%","%","%","PPQA","%","%","%","dlgAddUnlinkedPAB=Y,dlgGQPlantPassport=N,dlgQualityInspection=Y,dlgGpMbNotReceivedIsBroken=Y",0,0,0,0,0,0,0,"process usr rf exception where lodnum=@lodnum and acttyp='L' and prc_hldpfx=@wh_id and prc_hldnum='LOT.SORT' and prc_reacod='OVERIG' and invtyp=@dc_invtyp and asset_typ='1'and nottxt=''",0,"","clear usr rf device context where clear_type='all_except_stoloc'","","stsScanGpMbFirst","","","","","GAI-CHK-001 - Check on Plant Passport."
280,"----","inv_attr_str8","%","1","1","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","PP","%","%","%","dlgAddUnlinkedPAB=Y",0,0,1,0,0,0,0,"",0,"","","","","dlgGQPlantPassport[Y|N]","lotnum","","","GAI-CHK-001 - Check on Plant Passport."
283,"----","inv_attr_str8","%","1","1","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","PPQA","%","%","%","dlgAddUnlinkedPAB=Y",0,0,1,0,0,0,0,"",0,"","","","","dlgGQPlantPassport[Y|N]","lotnum","","","GFF-CFG-069 (IFT-1755) Quality indication at inbound"
284,"----","inv_attr_str8","%","1","1","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","PPQA","%","%","%","dlgAddUnlinkedPAB=Y,dlgGQPlantPassport=N",0,0,1,0,0,0,0,"",0,"","","","","dlgQualityInspection[Y]","lotnum","","","GFF-CFG-069 (IFT-1755) Quality indication at inbound"
285,"----","inv_attr_str8","%","1","1","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","QA","%","%","%","dlgAddUnlinkedPAB=Y",0,0,1,0,0,0,0,"",0,"","","","","dlgQualityInspection[Y]","lotnum","","","GFF-CFG-069 (IFT-1755) Quality indication at inbound"
287,"----","inv_attr_str8","%","1","1","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","PPQA","%","%","%","dlgAddUnlinkedPAB=Y,dlgGQPlantPassport=Y",0,0,1,0,0,0,0,"",0,"","","","","dlgQualityInspection[Y]","lotnum","","","GFF-CFG-069 (IFT-1755) Quality indication at inbound"
290,"----","inv_attr_str8","%","1","1","%","%","%","1","0","0","%","%","%","%","%","%","%","1","%","%","%","%","%","%","%","0","0","dlgAddUnlinkedPAB=Y",0,0,1,0,0,0,0,"",0,"","","","","dlgGpMbNotReceivedIsBroken[Y|N]","lotnum","","","NAI-S02-06, Scenario c: LDA employee scans follow-up cart PRN before the mother cart PRN for a big batch."
295,"----","inv_attr_str8","%","1","%","%","%","%","1","0","0","%","%","%","%","%","%","%","%","%","%","%","%","%","PPQA","%","%","%","dlgGQPlantPassport=N",0,0,0,0,0,0,0,"",0,"","","","","dlgQualityInspection[Y]","lotnum","","","GFF-CFG-069 (IFT-1755) Quality indication at inbound"
297,"----","inv_attr_str8","%","1","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","PPQA","%","%","%","dlgGQPlantPassport=N",0,0,0,0,0,0,0,"",0,"","","","","dlgQualityInspection[Y]","lotnum","","","GFF-CFG-069 (IFT-1755) Quality indication at inbound"
300,"----","inv_attr_str8","%","1","%","%","%","%","1","0","0","%","%","%","%","%","%","%","%","%","%","%","%","%","PP","%","%","%","dlgGQPlantPassport=N",0,0,0,0,0,0,0,"",0,"","","","","dlgGpMbNotReceivedIsBroken[Y|N]","lotnum","","","GAI-CHK-001 - Check on Plant Passport."
301,"----","inv_attr_str8","%","1","%","%","%","%","1","0","0","%","%","%","%","%","1","%","%","%","%","%","%","%","PPQA","%","%","%","dlgGQPlantPassport=N,dlgQualityInspection=Y",0,0,0,0,0,0,0,"",0,"","","","","dlgGpMbNotReceivedIsBroken[Y|N]","lotnum","","","GFF-CFG-069 (IFT-1755) Quality indication at inbound"
302,"----","inv_attr_str8","%","1","%","%","%","%","%","%","%","%","1","%","%","%","1","%","%","%","%","%","%","%","PPQA","%","%","%","dlgGQPlantPassport=N,dlgQualityInspection=Y",0,0,0,0,0,0,0,"",0,"","","","","","","USR_IDENTIFY_LOAD_EX","list usr rf identify load device scan status | publish data where disable_back='1' and dvc_var_nam='hldpfx,hldnum,asset_typ,invtyp,nottxt' and dvc_ena_flg='0,0,0,0,0' and hldpfx=@@wh_id and hldnum='PASSP.MISS' and asset_typ=@dc_asset_typ and invtyp=@dc_invtyp ","GFF-CFG-069 (IFT-1755) Quality indication at inbound"
303,"----","inv_attr_str8","%","1","1","%","%","%","%","%","%","%","0","%","%","%","1","%","1","%","%","%","%","%","PP","%","%","%","dlgGQPlantPassport=N",0,0,0,0,0,0,0,"",0,"","","errVeilgroepDiff","","","dc_vg_kweker,dc_vg_ais","USR_IDENTIFY_LOAD_EX","list usr rf identify load device scan status | publish data where disable_back='1' and dvc_var_nam='hldpfx,hldnum,asset_typ,invtyp,nottxt' and dvc_ena_flg='0,0,0,0,0' and hldpfx=@@wh_id and hldnum='PASSP.MISS' and asset_typ=@dc_asset_typ and invtyp=@dc_invtyp ","GAI-CHK-001 - Check on Plant Passport."
304,"----","inv_attr_str8","%","1","1","%","%","%","%","%","%","%","0","%","%","%","1","%","1","%","%","%","%","%","PPQA","%","%","%","dlgGQPlantPassport=N,dlgQualityInspection=Y",0,0,0,0,0,0,0,"",0,"","","errVeilgroepDiff","","","dc_vg_kweker,dc_vg_ais","USR_IDENTIFY_LOAD_EX","list usr rf identify load device scan status | publish data where disable_back='1' and dvc_var_nam='hldpfx,hldnum,asset_typ,invtyp,nottxt' and dvc_ena_flg='0,0,0,0,0' and hldpfx=@@wh_id and hldnum='PASSP.MISS' and asset_typ=@dc_asset_typ and invtyp=@dc_invtyp ","GFF-CFG-069 (IFT-1755) Quality indication at inbound"
305,"----","inv_attr_str8","%","1","%","%","%","%","%","%","%","%","%","%","%","%","1","%","%","%","%","%","%","%","PPQA","%","%","%","dlgGQPlantPassport=N,dlgQualityInspection=Y",0,0,0,0,0,0,0,"",0,"","","errVeilgroepDiff","","","dc_vg_kweker,dc_vg_ais","USR_IDENTIFY_LOAD_EX","list usr rf identify load device scan status | publish data where disable_back='1' and dvc_var_nam='hldpfx,hldnum,asset_typ,invtyp,nottxt' and dvc_ena_flg='0,0,0,0,0' and hldpfx=@@wh_id and hldnum='PASSP.MISS' and asset_typ=@dc_asset_typ and invtyp=@dc_invtyp ","GFF-CFG-069 (IFT-1755) Quality indication at inbound"
310,"----","inv_attr_str8","%","1","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","PP","%","%","%","dlgGQPlantPassport=N",0,0,0,0,0,0,0,"",0,"","","","","","","USR_IDENTIFY_LOAD_EX","list usr rf identify load device scan status | publish data where disable_back='1' and dvc_var_nam='hldpfx,hldnum,asset_typ,invtyp,nottxt' and dvc_ena_flg='0,0,0,0,0' and hldpfx=@@wh_id and hldnum='PASSP.MISS' and asset_typ=@dc_asset_typ and invtyp=@dc_invtyp ","GAI-CHK-001 - Check on Plant Passport."
311,"----","inv_attr_str8","%","1","%","%","%","%","1","0","0","%","%","%","%","%","%","%","%","%","%","%","%","%","PPQA","%","%","%","dlgGQPlantPassport=N,dlgQualityInspection=Y",0,0,0,0,0,0,0,"",0,"","","","","dlgGpMbNotReceivedIsBroken[Y|N]","lotnum","","","GFF-CFG-069 (IFT-1755) Quality indication at inbound"
313,"----","inv_attr_str8","%","1","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","PPQA","%","%","%","dlgGQPlantPassport=N,dlgQualityInspection=Y",0,0,0,0,0,0,0,"",0,"","","","","","","USR_IDENTIFY_LOAD_EX","list usr rf identify load device scan status | publish data where disable_back='1' and dvc_var_nam='hldpfx,hldnum,asset_typ,invtyp,nottxt' and dvc_ena_flg='0,0,0,0,0' and hldpfx=@@wh_id and hldnum='PASSP.MISS' and asset_typ=@dc_asset_typ and invtyp=@dc_invtyp ","GFF-CFG-069 (IFT-1755) Quality indication at inbound"
315,"----","inv_attr_str8","%","1","%","%","%","%","1","0","%","%","%","%","%","%","%","%","%","%","%","%","%","%","PPQA","%","%","%","dlgGQPlantPassport=N",0,0,0,0,0,0,0,"",0,"","","","","dlgQualityInspection[Y]","lotnum","","","GFF-CFG-069 (IFT-1755) Quality indication at inbound"
320,"----","inv_attr_str8","%","1","%","%","%","%","1","0","%","%","%","%","%","%","%","%","%","%","%","%","%","%","PP","%","%","%","dlgGQPlantPassport=N",0,0,0,0,0,0,0,"",0,"","","","","dlgGpMbNotReceivedIsBroken[Y|N]","lotnum","","","GAI-CHK-001 - Check on Plant Passport."
330,"----","inv_attr_str8","%","1","0","%","%","%","1","0","0","%","%","%","%","%","%","%","1","%","%","%","%","%","%","%","0","0","dlgGpMbNotReceivedIsBroken=N",0,0,1,1,0,0,0,"",0,"","mark usr grote partij as gebroken levering where lodnum=@lodnum","","","","","","","NAI-S02-06, Scenario c: LDA employee scans follow-up cart PRN before the mother cart PRN for a big batch."
340,"----","inv_attr_str8","%","1","1","%","%","%","1","0","0","%","%","%","%","%","%","%","1","%","%","%","%","%","%","%","0","0","dlgAddUnlinkedPAB=Y,dlgGpMbNotReceivedIsBroken=N",0,0,0,1,0,0,0,"",0,"","mark usr grote partij as gebroken levering where lodnum=@lodnum","","","","","","","NAI-S02-06, Scenario c: LDA employee scans follow-up cart PRN before the mother cart PRN for a big batch."
350,"----","inv_attr_str8","%","1","1","%","%","%","1","0","0","%","%","%","%","%","%","%","1","%","%","%","%","%","PP","%","%","%","dlgAddUnlinkedPAB=Y,dlgGQPlantPassport=Y,dlgGpMbNotReceivedIsBroken=N",0,0,0,1,0,0,0,"",0,"","mark usr grote partij as gebroken levering where lodnum=@lodnum","","","","","","","GAI-CHK-001 - Check on Plant Passport."
353,"----","inv_attr_str8","%","1","1","%","%","%","1","0","0","%","%","%","%","%","%","%","1","%","%","%","%","%","PPQA","%","%","%","dlgAddUnlinkedPAB=Y,dlgGQPlantPassport=Y,dlgQualityInspection=Y,dlgGpMbNotReceivedIsBroken=N",0,0,0,1,0,0,0,"",0,"","mark usr grote partij as gebroken levering where lodnum=@lodnum","","","","","","","GFF-CFG-069 (IFT-1755) Quality indication at inbound"
355,"----","inv_attr_str8","%","1","1","%","%","%","1","0","0","%","%","%","%","%","%","%","1","%","%","%","%","%","QA","%","%","%","dlgAddUnlinkedPAB=Y,dlgQualityInspection=Y,dlgGpMbNotReceivedIsBroken=N",0,0,0,1,0,0,0,"",0,"","mark usr grote partij as gebroken levering where lodnum=@lodnum","","","","","","","GFF-CFG-069 (IFT-1755) Quality indication at inbound"
360,"----","inv_attr_str8","%","1","1","%","%","%","1","0","0","%","%","%","%","%","%","%","1","%","%","%","%","%","PP","%","%","%","dlgAddUnlinkedPAB=N,dlgGQPlantPassport=Y,dlgGpMbNotReceivedIsBroken=N",0,0,0,1,0,0,0,"",0,"","mark usr grote partij as gebroken levering where lodnum=@lodnum","","","","","USR_IDENTIFY_LOAD_EX","list usr rf identify load device scan status | publish data where disable_back='1' and dvc_var_nam='hldpfx,hldnum,asset_typ,invtyp,nottxt' and dvc_ena_flg='0,0,0,0,0' and hldpfx=@@wh_id and hldnum='PASSP.MISS' and asset_typ=@dc_asset_typ and invtyp=@dc_invtyp ","GAI-CHK-001 - Check on Plant Passport."
363,"----","inv_attr_str8","%","1","1","%","%","%","1","0","0","%","%","%","%","%","%","%","1","%","%","%","%","%","PPQA","%","%","%","dlgAddUnlinkedPAB=N,dlgGQPlantPassport=Y,dlgQualityInspection=Y,dlgGpMbNotReceivedIsBroken=N",0,0,0,1,0,0,0,"",0,"","mark usr grote partij as gebroken levering where lodnum=@lodnum","","","","","USR_IDENTIFY_LOAD_EX","list usr rf identify load device scan status | publish data where disable_back='1' and dvc_var_nam='hldpfx,hldnum,asset_typ,invtyp,nottxt' and dvc_ena_flg='0,0,0,0,0' and hldpfx=@@wh_id and hldnum='PASSP.MISS' and asset_typ=@dc_asset_typ and invtyp=@dc_invtyp ","GFF-CFG-069 (IFT-1755) Quality indication at inbound"
365,"----","inv_attr_str8","%","1","1","%","%","%","1","0","0","%","%","%","%","%","%","%","1","%","%","%","%","%","QA","%","%","%","dlgAddUnlinkedPAB=N,dlgQualityInspection=Y,dlgGpMbNotReceivedIsBroken=N",0,0,0,1,0,0,0,"",0,"","mark usr grote partij as gebroken levering where lodnum=@lodnum","","","","","USR_IDENTIFY_LOAD_EX","list usr rf identify load device scan status | publish data where disable_back='1' and dvc_var_nam='hldpfx,hldnum,asset_typ,invtyp,nottxt' and dvc_ena_flg='0,0,0,0,0' and hldpfx=@@wh_id and hldnum='PASSP.MISS' and asset_typ=@dc_asset_typ and invtyp=@dc_invtyp ","GFF-CFG-069 (IFT-1755) Quality indication at inbound"
366,"----","inv_attr_str8","%","1","1","%","%","%","1","0","0","%","%","%","%","%","1","%","1","%","%","%","%","%","PPQA","%","%","%","dlgGQPlantPassport=N,dlgQualityInspection=Y,dlgGpMbNotReceivedIsBroken=N",0,0,0,0,0,0,0,"",0,"","mark usr grote partij as gebroken levering where lodnum=@lodnum","errVeilgroepDiff","","","dc_vg_kweker,dc_vg_ais","USR_IDENTIFY_LOAD_EX","list usr rf identify load device scan status | publish data where disable_back='1' and dvc_var_nam='hldpfx,hldnum,asset_typ,invtyp,nottxt' and dvc_ena_flg='0,0,0,0,0' and hldpfx=@@wh_id and hldnum='PASSP.MISS' and asset_typ=@dc_asset_typ and invtyp=@dc_invtyp ","GFF-CFG-069 (IFT-1755) Quality indication at inbound"
367,"----","inv_attr_str8","%","1","1","%","%","%","1","0","0","%","%","%","%","%","1","%","1","%","%","%","%","%","PP","%","%","%","dlgGQPlantPassport=N,dlgGpMbNotReceivedIsBroken=N",0,0,0,0,0,0,0,"",0,"","mark usr grote partij as gebroken levering where lodnum=@lodnum","errVeilgroepDiff","","","dc_vg_kweker,dc_vg_ais","USR_IDENTIFY_LOAD_EX","list usr rf identify load device scan status | publish data where disable_back='1' and dvc_var_nam='hldpfx,hldnum,asset_typ,invtyp,nottxt' and dvc_ena_flg='0,0,0,0,0' and hldpfx=@@wh_id and hldnum='PASSP.MISS' and asset_typ=@dc_asset_typ and invtyp=@dc_invtyp ","GAI-CHK-001 - Check on Plant Passport."
370,"----","inv_attr_str8","%","1","1","%","%","%","1","0","0","%","%","%","%","%","%","%","1","%","%","%","%","%","PP","%","%","%","dlgGQPlantPassport=N,dlgGpMbNotReceivedIsBroken=N",0,0,0,0,0,0,0,"",0,"","mark usr grote partij as gebroken levering where lodnum=@lodnum","","","","","USR_IDENTIFY_LOAD_EX","list usr rf identify load device scan status | publish data where disable_back='1' and dvc_var_nam='hldpfx,hldnum,asset_typ,invtyp,nottxt' and dvc_ena_flg='0,0,0,0,0' and hldpfx=@@wh_id and hldnum='PASSP.MISS' and asset_typ=@dc_asset_typ and invtyp=@dc_invtyp ","GAI-CHK-001 - Check on Plant Passport."
373,"----","inv_attr_str8","%","1","1","%","%","%","1","0","0","%","%","%","%","%","%","%","1","%","%","%","%","%","PPQA","%","%","%","dlgGQPlantPassport=N,dlgQualityInspection=Y,dlgGpMbNotReceivedIsBroken=N",0,0,0,0,0,0,0,"",0,"","mark usr grote partij as gebroken levering where lodnum=@lodnum","","","","","USR_IDENTIFY_LOAD_EX","list usr rf identify load device scan status | publish data where disable_back='1' and dvc_var_nam='hldpfx,hldnum,asset_typ,invtyp,nottxt' and dvc_ena_flg='0,0,0,0,0' and hldpfx=@@wh_id and hldnum='PASSP.MISS' and asset_typ=@dc_asset_typ and invtyp=@dc_invtyp ","GFF-CFG-069 (IFT-1755) Quality indication at inbound"
380,"----","inv_attr_str8","%","1","0","%","%","%","1","0","0","%","%","%","%","%","%","%","1","%","%","%","%","%","PP","%","%","%","dlgGQPlantPassport=N,dlgGpMbNotReceivedIsBroken=N",0,0,1,1,0,0,0,"",0,"","mark usr grote partij as gebroken levering where lodnum=@lodnum","","","","","USR_IDENTIFY_LOAD_EX","list usr rf identify load device scan status | publish data where disable_back='1' and dvc_var_nam='hldpfx,hldnum,asset_typ,invtyp,nottxt' and dvc_ena_flg='0,0,0,0,0' and hldpfx=@@wh_id and hldnum='PASSP.MISS' and asset_typ=@dc_asset_typ and invtyp=@dc_invtyp ","GAI-CHK-001 - Check on Plant Passport."
383,"----","inv_attr_str8","%","1","0","%","%","%","1","0","0","%","%","%","%","%","%","%","1","%","%","%","%","%","PPQA","%","%","%","dlgGQPlantPassport=N,dlgQualityInspection=Y,dlgGpMbNotReceivedIsBroken=N",0,0,1,1,0,0,0,"",0,"","mark usr grote partij as gebroken levering where lodnum=@lodnum","","","","","USR_IDENTIFY_LOAD_EX","list usr rf identify load device scan status | publish data where disable_back='1' and dvc_var_nam='hldpfx,hldnum,asset_typ,invtyp,nottxt' and dvc_ena_flg='0,0,0,0,0' and hldpfx=@@wh_id and hldnum='PASSP.MISS' and asset_typ=@dc_asset_typ and invtyp=@dc_invtyp ","GFF-CFG-069 (IFT-1755) Quality indication at inbound"
385,"----","inv_attr_str8","%","1","1","%","%","%","1","0","0","%","0","%","%","%","1","%","1","%","%","%","%","%","PP","%","%","%","dlgGQPlantPassport=Y,dlgGpMbNotReceivedIsBroken=N",0,0,0,0,0,0,0,"",0,"","mark usr grote partij as gebroken levering where lodnum=@lodnum","errVeilgroepDiff","","","dc_vg_kweker,dc_vg_ais","","","GAI-CHK-001 - Check on Plant Passport."
386,"----","inv_attr_str8","%","1","1","%","%","%","1","0","0","%","0","%","%","%","1","%","1","%","%","%","%","%","PPQA","%","%","%","dlgGQPlantPassport=Y,dlgQualityInspection=Y,dlgGpMbNotReceivedIsBroken=N",0,0,0,0,0,0,0,"",0,"","mark usr grote partij as gebroken levering where lodnum=@lodnum","errVeilgroepDiff","","","dc_vg_kweker,dc_vg_ais","","","GFF-CFG-069 (IFT-1755) Quality indication at inbound"
387,"----","inv_attr_str8","%","1","1","%","%","%","1","0","0","%","0","%","%","%","1","%","1","%","%","%","%","%","QA","%","%","%","dlgQualityInspection=Y,dlgGpMbNotReceivedIsBroken=N",0,0,0,0,0,0,0,"",0,"","mark usr grote partij as gebroken levering where lodnum=@lodnum","errVeilgroepDiff","","","dc_vg_kweker,dc_vg_ais","","","GFF-CFG-069 (IFT-1755) Quality indication at inbound"
388,"----","inv_attr_str8","%","1","1","%","%","%","1","0","0","%","1","%","%","%","1","%","1","%","%","%","%","%","QA","%","%","%","dlgQualityInspection=Y,dlgGpMbNotReceivedIsBroken=N",0,0,0,0,0,0,0,"",0,"","mark usr grote partij as gebroken levering where lodnum=@lodnum","","","","","USR_IDENTIFY_LOAD_EX","publish data where disable_back='1' and dvc_var_nam='hldpfx,hldnum,asset_typ,invtyp,nottxt' and dvc_ena_flg='0,0,0,0,0' and hldpfx=@@wh_id and hldnum='PHOTO.MISS' and invtyp='10' and nottxt=''","GAI-CHK-001 - Check on Plant Passport."
389,"----","inv_attr_str8","%","1","1","%","%","%","1","0","0","%","1","%","%","%","1","%","1","%","%","%","%","%","PPQA","%","%","%","dlgGQPlantPassport=Y,dlgQualityInspection=Y,dlgGpMbNotReceivedIsBroken=N",0,0,0,0,0,0,0,"",0,"","mark usr grote partij as gebroken levering where lodnum=@lodnum","","","","","USR_IDENTIFY_LOAD_EX","publish data where disable_back='1' and dvc_var_nam='hldpfx,hldnum,asset_typ,invtyp,nottxt' and dvc_ena_flg='0,0,0,0,0' and hldpfx=@@wh_id and hldnum='PHOTO.MISS' and invtyp='10' and nottxt=''","GFF-CFG-069 (IFT-1755) Quality indication at inbound"
390,"----","inv_attr_str8","%","1","1","%","%","%","1","0","0","%","0","%","%","%","%","%","1","%","%","%","%","%","PP","%","%","%","dlgGQPlantPassport=Y,dlgGpMbNotReceivedIsBroken=N",0,0,0,0,0,0,0,"",0,"","mark usr grote partij as gebroken levering where lodnum=@lodnum","","","","","","","GAI-CHK-001 - Check on Plant Passport."
391,"----","inv_attr_str8","%","1","1","%","%","%","1","0","0","%","0","%","%","%","%","%","1","%","%","%","%","%","PP","%","%","%","dlgGQPlantPassport=Y,dlgGpMbNotReceivedIsBroken=N",0,0,0,0,0,0,0,"",0,"","mark usr grote partij as gebroken levering where lodnum=@lodnum","","","","","USR_IDENTIFY_LOAD_EX","publish data where disable_back='1' and dvc_var_nam='hldpfx,hldnum,asset_typ,invtyp,nottxt' and dvc_ena_flg='0,0,0,0,0' and hldpfx=@@wh_id and hldnum='PHOTO.MISS' and invtyp='10' and nottxt=''","GAI-CHK-001 - Check on Plant Passport."
393,"----","inv_attr_str8","%","1","1","%","%","%","1","0","0","%","0","%","%","%","%","%","1","%","%","%","%","%","PPQA","%","%","%","dlgGQPlantPassport=Y,dlgQualityInspection=Y,dlgGpMbNotReceivedIsBroken=N",0,0,0,0,0,0,0,"",0,"","mark usr grote partij as gebroken levering where lodnum=@lodnum","","","","","","","GFF-CFG-069 (IFT-1755) Quality indication at inbound"
